WKT,name,description,Availability
"POINT (-95.4035656 29.7187296)",Point 1,,
"POINT (-95.4030879 29.718139)",Point 2,,
"POINT (-95.3986895 29.7172819)",Point 3,,
"POINT (-95.3987805 29.717345)",Point 4,,
"POINT (-95.3987993 29.7168441)",Point 5,,
"POINT (-95.3993329 29.7168463)",Point 6,,
"POINT (-95.3987057 29.7161258)",Point 7,,
"POINT (-95.4005027 29.7152255)",Point 8,,
"POINT (-95.4006455 29.7171816)",Point 9,,
"POINT (-95.401849 29.7181623)",Point 10,,
"POINT (-95.4022044 29.7180959)",Point 11,,
"POINT (-95.3997356 29.7179629)",Point 12,,
"POINT (-95.406122 29.7138471)",Point 13,,
"POINT (-95.4051636 29.7138053)",Point 14,,
"POINT (-95.4001216 29.7185347)",Point 15,,
"POINT (-95.4003292 29.7175668)",Point 16,,
"POINT (-95.399742 29.7190743)",Point 17,,
"POINT (-95.3985594 29.7194668)",Point 18,,
"POINT (-95.3982394 29.7201829)",Point 19,,
"POINT (-95.4014151 29.7208802)",Point 20,,
"POINT (-95.4006145 29.7201662)",Point 21,,
"POINT (-95.4005834 29.7195434)",Point 22,,
"POINT (-95.4029427 29.71926)",Point 23,,
"POINT (-95.4002097 29.7215038)",Point 24,,
"POINT (-95.4011031 29.7197287)",Point 25,,
"POINT (-95.4020281 29.7193498)",Point 26,,
"POINT (-95.4021462 29.7195338)",Point 27,,
"POINT (-95.3981856 29.7207788)",Point 28,,
"POINT (-95.3990294 29.7214476)",Point 29,,
"POINT (-95.398259 29.7216989)",Point 30,,
"POINT (-95.4024451 29.7176216)",Point 31,,
"POINT (-95.396161 29.7217254)",Point 32,,
"POINT (-95.397518 29.7217516)",Point 33,,
"POINT (-95.3974796 29.7218612)",Point 34,,
"POINT (-95.397828 29.7208256)",Point 35,,
"POINT (-95.4067541 29.7137185)",Point 36,,
"POINT (-95.4028743 29.7196217)",Point 37,,
"POINT (-95.3986622 29.7164177)",Point 38,,
"POINT (-95.3976645 29.7185655)",Point 39,,
"POINT (-95.4028772 29.718379)",Point 40,,
"POINT (-95.4027453 29.717387)",Point 41,,
"POINT (-95.400642 29.7166112)",Point 42,,
"POINT (-95.3988096 29.7153591)",Point 43,,
